"Titles","Year","Cited by","Link"
"Analysis of Chosen Results Based on Trials with Distributed and Collocated Passive-Active Radars","2018","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060153443&doi=10.1109%2fRADAR.2018.8557326&partnerID=40&md5=a2dff25414d1ef1708082253c3a8d046"
"Effects of Touch, Voice, and Multimodal Input, and Task Load on Multiple-UAV Monitoring Performance During Simulated Manned-Unmanned Teaming in a Military Helicopter","2018","19","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052066675&doi=10.1177%2f0018720818788995&partnerID=40&md5=3a305dd2737c0edae4f3012b91bbb947"
"A Kernel-Based Compressive Sensing Approach for Mobile Data Gathering in Wireless Sensor Network Systems","2018","73","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028450020&doi=10.1109%2fTSMC.2017.2734886&partnerID=40&md5=e2f57c5a8468e7fd5060817d1b40657b"
"Negative Energy Balance Does Not Alter Fat-Free Mass During the Yukon Arctic Ultra—The Longest and the Coldest Ultramarathon","2018","6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068210932&doi=10.3389%2ffphys.2018.01761&partnerID=40&md5=8f59d9b80ae78ecda8dccd4434cdd718"
"Implement policies and processes to increase the level of security of the multi-tier logistics chain","2018","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060177074&doi=10.1109%2fNTAD.2018.8551684&partnerID=40&md5=111dda98c4e94a65aa1c42fc4d09863a"
"A wide-angle shift-free metamaterial filter design for anti-laser striking application","2018","7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051103070&doi=10.1016%2fj.optcom.2018.07.065&partnerID=40&md5=dd1de456914c33baa43c32d2b61b4c77"
"Specific Emitter Identification via Convolutional Neural Networks","2018","115","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053623977&doi=10.1109%2fLCOMM.2018.2871465&partnerID=40&md5=623bde3eb99cd62d8b590c47b63f080c"
"Study on the Aging Mechanism of Boron Potassium Nitrate (BKNO3) for Sustainable Efficiency in Pyrotechnic Mechanical Devices","2018","22","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051274021&doi=10.1038%2fs41598-018-29412-8&partnerID=40&md5=f224bb034d2359119ccec84a1e556dee"
"TDOA Estimation with Compressive Sensing Measurements and Hadamard Matrix","2018","33","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045296831&doi=10.1109%2fTAES.2018.2826230&partnerID=40&md5=b45aa36505415ef98b4e62c071a366eb"
"Research on Intelligent Decision-Making of New Type Demonstration Based on Air Surveillance Radar","2018","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061330223&doi=10.1109%2fITME.2018.00212&partnerID=40&md5=2381e1f0980c78d0d001d178d8e9909e"
"Application of Hyperbolic Methods Based on PDOA for Transmitter Localization in the UHF Band","2018","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060384067&doi=10.23919%2fRADIO.2018.8572463&partnerID=40&md5=0ef792aca97bc15bfaa50d018af0cd28"
